427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
427,427,427,427,315,315,315,315,315,315,315,427,427,427,427
427,427,427,427,315,315,315,315,315,315,315,427,427,427,427
427,427,427,427,254,254,254,254,254,254,254,427,427,427,427
427,427,427,427,254,254,254,254,254,254,254,427,427,427,427
427,427,427,427,254,254,254,254,254,254,254,427,427,427,427
427,427,427,427,254,254,254,254,254,254,254,427,427,427,427
427,427,427,427,254,254,254,254,254,254,254,427,427,427,427
427,427,427,427,254,254,254,254,254,254,254,427,427,427,427
427,427,427,427,427,427,427,254,427,427,427,427,427,427,427
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
