370,370,370,370,370,370,370,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
430,430,430,430,430,430,430,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,430,430,430,430,430,430
430,430,430,430,430,430,431,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,429,430,430,430,430,430
430,430,430,430,430,430,431,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,429,430,430,430,430,430
430,430,430,430,430,430,431,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,429,430,430,430,430,430
460,460,460,460,460,460,461,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,429,430,430,430,430,430
314,314,314,314,314,314,314,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,459,430,430,430,430,430
344,344,344,344,344,344,344,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,314,430,430,430,430,430
254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,344,430,430,430,430,430
254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,430,430,430,430,430
400,400,400,400,400,400,401,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,429,430,430,430,430,430
370,370,370,370,370,370,431,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,429,430,430,430,430,430
430,430,430,430,430,430,431,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,429,430,430,430,430,430
430,430,430,430,430,430,431,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,429,430,430,430,430,430
430,430,430,430,430,430,430,400,400,254,400,400,400,254,400,400,400,254,400,400,400,254,400,400,430,430,430,430,430,430
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
